new_header	new_symbol	legacy_symbol	file	line	matched_pattern	text
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/client/runtime/tank_entity.cpp	128	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""gameplay.tank.physicsAuthorityPilot.enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/server/runtime/run.cpp	70	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.gameplay.shots.physicsHitPilot.Enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/server/runtime/run.cpp	81	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.gameplay.shots.ricochet.Enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/server/runtime/run.cpp	95	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.gameplay.shots.physicsHitPilot.IgnoreTriggers"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/server/runtime/run.cpp	97	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.gameplay.shots.physicsHitPilot.trace.Enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/server/runtime/run.cpp	102	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.gameplay.shots.physicsHitPilot.guard.Enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-bz3/src/server/runtime/run.cpp	135	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.gameplay.shots.physicsHitPilot.recastAutoTune.Enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-karma/src/network/community/heartbeat.cpp	59	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"enabled_ = karma::common::config::ReadRequiredBoolConfig(""community.Enabled"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-karma/src/network/community/heartbeat_client.cpp	134	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.community.heartbeat.HttpFollowRedirects"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-karma/src/network/server/auth/preauth.cpp	294	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.auth.AllowEmptyPreAuthPassword"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-karma/src/network/server/auth/preauth.cpp	296	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.auth.CommunityAuthFollowRedirects"");"
m-kconfig/include/kconfig/helpers.hpp	ReadRequiredBoolConfig	ReadRequiredBoolConfig	m-karma/src/network/server/auth/preauth.cpp	304	\b(?:karma::)?common::config::ReadRequiredBoolConfig\s*\(	"karma::common::config::ReadRequiredBoolConfig(""server.auth.communityAuth.UsernameFallbackToPlayerName"");"
